,biz,grade,inspections_in_2012,inspections_in_2013,phone_num,violations_in_2012,violations_in_2013,violations_per_inspection
1869,NORTH CLUB LOUNGE,A,1,1,9176186310,1,1,1
1871,GOOD HEALTH NATURAL CAFE,B,4,3,2125179898,15,6,2
1872,5 NAPKIN BURGER,A,1,1,7184332727,1,1,1
1874,DUNKIN' DONUTS,C,1,1,7183232822,2,1,1
1875,PIZZA ITALIA 1,P,5,2,7185842500,16,5,2
1876,BG RESTAURANT,A,1,4,2128728977,2,12,3
1877,FASHION 40,C,5,1,2122213628,22,2,2
1878,G & L Cajun Grill,B,2,3,9176052812,10,11,3
1879,MASAWA,A,0,1,2126630505,0,3,3
1880,COSTCO WHOLESALE,B,3,1,7182673680,7,1,1
1881,C & C PROSPERITY DUMPLINGS,C,3,2,2122280988,9,8,4
1882,TIERRAS COLUMBIANAS,B,4,3,7189563012,14,10,3
1883,SAGE,A,3,4,7182186644,3,8,2
1884,NEW YORK UNIVERSITY - COURTYARD CAFE,A,3,1,2129953010,6,2,2
1886,DIECI PIZZERIA & OSTERIA,A,2,1,3475992009,4,3,3
1887,MIKNIC LOUNGE,A,1,3,9177701984,1,5,1
1888,NEW FRIED CHICKEN INC,A,0,2,7188921767,0,8,4
1889,MALAYSIA GRILL,P,2,3,2125791333,7,12,4
1890,ANGELICA'S BAKERY,B,3,3,7183257292,7,8,2
1891,CUCHILANDIA,A,1,5,7184290101,1,12,2
1892,GREAT WALL KITCHEN,B,1,1,2122348086,1,2,2
1894,TAQUERIA LA HACIENDA,P,0,2,7184264100,0,12,6
1895,LA NORTENA EXPRESS RESTAURANT,P,3,2,7187792618,11,13,6
1896,KING'S ARMS RESTAURANT,A,1,2,7184480326,4,5,2
1897,MALECON,B,2,1,2129273812,6,2,2
1898,BENNIE'S THAI CAFE,P,5,2,2125878930,17,8,4
1899,SHENG XING CHINESE RESTAURANT,C,3,4,7188593183,9,12,3
1900,MCDONALD'S,A,2,1,2127366157,5,2,2
1901,YEE GARDEN,A,1,1,7184247797,2,3,3
1902,O'SAKE JAPANESE RESTAURANT,C,2,4,7189458888,6,14,3
1904,IL GIGLIO,B,3,0,2125715555,7,0,0
1905,EMPIRE WOK EXPRESS,P,9,1,7182642288,33,2,2
1906,TRIPLE 8 RESTAURANT,A,0,0,7189933233,0,0,0
1907,PEKING KITCHEN,P,3,4,7187481118,17,14,3
1908,KORTAKO,A,1,4,6462651350,3,7,1
1909,SHANGAI CUISINE,C,4,3,2127328988,21,12,4
1910,MARINA HOUSE CAFE,A,1,5,9178157298,4,10,2
1912,ECLIPSE ON THE BOULEVARD,C,5,1,7185295580,18,3,3
1913,DE ISLANDS,B,1,3,7182413609,4,12,4
